State: 179, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 20.38
State: 180, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 5,054,353, Time: 46.82
State: 181, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 18.57
State: 182, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,934,353, Time: 73.93
State: 183, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 3,134,353, Time: 27.54
State: 184, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 6,134,353, Time: 55.00
State: 185, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 5,894,353, Time: 53.21
State: 186, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 10,574,353, Time: 98.01
State: 187, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,214,353, Time: 36.77
State: 188, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,934,353, Time: 71.61
State: 189, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 8,774,353, Time: 80.33
State: 190, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 13,334,353, Time: 124.16
State: 191, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 18.24
State: 192, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 11,294,353, Time: 107.19
State: 193, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 18.86
State: 194, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 3,134,353, Time: 28.26
State: 195, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,774,353, Time: 23.86
State: 196, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 17.26
State: 197, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,614,353, Time: 58.79
State: 198, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 25,694,353, Time: 246.11
State: 199, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 17.96
State: 200, SolnCost: 23.00, # Moves: 23, # Nodes Gen: 5,894,353, Time: 53.82
State: 201, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,214,353, Time: 38.00
State: 202, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 17.76
State: 203, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,654,353, Time: 22.96
State: 204, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,214,353, Time: 64.91
State: 205, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 14,174,353, Time: 135.20
State: 206, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,734,353, Time: 60.92
State: 207, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,854,353, Time: 63.06
State: 208, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 9,854,353, Time: 90.73
State: 209, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 8,534,353, Time: 76.86
State: 210, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,294,353, Time: 49.94
State: 211, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 6,134,353, Time: 55.31
State: 212, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,414,353, Time: 21.12
State: 213, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,694,353, Time: 42.32
State: 214, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 3,374,353, Time: 28.98
State: 215, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,134,353, Time: 55.39
